Dex,Pokemon,Chance,Chance percentage
143,Snorlax,1/2805,0.0357
149,Dragonite,1/4207,0.0238
248,Tyranitar,1/4207,0.0238
373,Salamence,1/4207,0.0238
706,Goodra,1/4207,0.0238
376,Metagross,1/4207,0.0238
635,Hydreigon,1/4207,0.0238
784,Kommo-o,1/4207,0.0238
445,Garchomp,1/4207,0.0238
10230,Hisuian Zorua,1/11219,0.0089
10227,Hisuian Sneasel,1/11219,0.0089
10233,Hisuian Sliggoo,1/11219,0.0089
903,Sneasler,1/11219,0.0089
10112,Alolan Grimer,1/11219,0.0089
10100,Alolan Raichu,1/11219,0.0089
10091,Alolan Rattata,1/11219,0.0089
10163,Galarian Farfetch'd,1/11219,0.0089
10161,Galarian Slowpoke,1/11219,0.0089
10159,Galarian Ponyta,1/11219,0.0089
10158,Galarian Meowth,1/11219,0.0089
10170,Galarian Corsola,1/11219,0.0089
10172,Galarian Linoone,1/11219,0.0089
10174,Galarian Darmanitan,1/11219,0.0089
10176,Galarian Yamask,1/11219,0.0089
10223,Hisuian Voltorb,1/11219,0.0089
902,Basculegion,1/11219,0.0089
10221,Hisuian Growlithe,1/11219,0.0089
10105,Alolan Diglett,1/11219,0.0089
10107,Alolan Meowth,1/11219,0.0089
10103,Alolan Vulpix,1/11219,0.0089
10101,Alolan Sandshrew,1/11219,0.0089
10109,Alolan Geodude,1/11219,0.0089
867,Runerigus,1/22439,0.0045
10165,Galarian Mr. Mime,1/22439,0.0045
10164,Galarian Weezing,1/22439,0.0045
10235,Hisuian Avalugg,1/22439,0.0045
10108,Alolan Persian,1/22439,0.0045
10113,Alolan Muk,1/22439,0.0045
10160,Galarian Rapidash,1/22439,0.0045
10106,Alolan Dugtrio,1/22439,0.0045
10092,Alolan Raticate,1/22439,0.0045
10229,Hisuian Lilligant,1/22439,0.0045
10115,Alolan Marowak,1/22439,0.0045
10231,Hisuian Zoroark,1/22439,0.0045
10114,Alolan Exeggutor,1/22439,0.0045
10162,Galarian Slowbro,1/22439,0.0045
893,Zarude,1/22439,0.0045
10171,Galarian Zigzagoon,1/22439,0.0045
10228,Hisuian Samurott,1/22439,0.0045
10173,Galarian Darumaka,1/22439,0.0045
10104,Alolan Ninetales,1/22439,0.0045
10177,Galarian Stunfisk,1/22439,0.0045
10110,Alolan Graveler,1/22439,0.0045
10222,Hisuian Arcanine,1/22439,0.0045
10102,Alolan Sandslash,1/22439,0.0045
10003,Speed Deoxys,1/22439,0.0045
10002,Defense Deoxys,1/22439,0.0045
10224,Hisuian Electrode,1/22439,0.0045
10001,Attack Deoxys,1/22439,0.0045
10225,Hisuian Typhlosion,1/22439,0.0045
904,Overqwil,1/22439,0.0045
10226,Hisuian Qwilfish,1/22439,0.0045
10232,Hisuian Braviary,1/22439,0.0045
10236,Hisuian Decidueye,1/22439,0.0045
647,Keldeo,1/22439,0.0045
151,Mew,1/22439,0.0045
721,Volcanion,1/22439,0.0045
720,Hoopa,1/22439,0.0045
719,Diancie,1/22439,0.0045
490,Manaphy,1/22439,0.0045
491,Darkrai,1/22439,0.0045
385,Jirachi,1/22439,0.0045
251,Celebi,1/22439,0.0045
649,Genesect,1/22439,0.0045
648,Meloetta,1/22439,0.0045
386,Deoxys,1/22439,0.0045
865,Sirfetch'd,1/22439,0.0045
492,Shaymin,1/22439,0.0045
801,Magearna,1/22439,0.0045
802,Marshadow,1/22439,0.0045
493,Arceus,1/22439,0.0045
494,Victini,1/22439,0.0045
807,Zeraora,1/22439,0.0045
808,Meltan,1/22439,0.0045
809,Melmetal,1/22439,0.0045
862,Obstagoon,1/22439,0.0045
863,Perrserker,1/22439,0.0045
864,Cursola,1/22439,0.0045
489,Phione,1/22439,0.0045
10234,Hisuian Goodra,1/33658,0.003
486,Regigigas,1/44877,0.0022
485,Heatran,1/44877,0.0022
484,Palkia,1/44877,0.0022
866,Mr. Rime,1/44877,0.0022
488,Cresselia,1/44877,0.0022
10120,Complete Zygarde,1/44877,0.0022
482,Azelf,1/44877,0.0022
10118,10 Zygarde,1/44877,0.0022
638,Cobalion,1/44877,0.0022
483,Dialga,1/44877,0.0022
383,Groudon,1/44877,0.0022
481,Mesprit,1/44877,0.0022
480,Uxie,1/44877,0.0022
144,Articuno,1/44877,0.0022
145,Zapdos,1/44877,0.0022
146,Moltres,1/44877,0.0022
150,Mewtwo,1/44877,0.0022
243,Raikou,1/44877,0.0022
244,Entei,1/44877,0.0022
245,Suicune,1/44877,0.0022
249,Lugia,1/44877,0.0022
250,Ho-Oh,1/44877,0.0022
377,Regirock,1/44877,0.0022
378,Regice,1/44877,0.0022
379,Registeel,1/44877,0.0022
10183,Rapid Strike Urshifu,1/44877,0.0022
380,Latias,1/44877,0.0022
381,Latios,1/44877,0.0022
382,Kyogre,1/44877,0.0022
639,Terrakion,1/44877,0.0022
384,Rayquaza,1/44877,0.0022
10169,Galarian Slowking,1/44877,0.0022
10111,Alolan Golem,1/44877,0.0022
645,Landorus,1/44877,0.0022
640,Virizion,1/44877,0.0022
790,Cosmoem,1/44877,0.0022
800,Necrozma,1/44877,0.0022
888,Zacian,1/44877,0.0022
889,Zamazenta,1/44877,0.0022
890,Eternatus,1/44877,0.0022
891,Kubfu,1/44877,0.0022
892,Urshifu,1/44877,0.0022
894,Regieleki,1/44877,0.0022
895,Regidrago,1/44877,0.0022
896,Glastrier,1/44877,0.0022
897,Spectrier,1/44877,0.0022
898,Calyrex,1/44877,0.0022
641,Tornadus,1/44877,0.0022
792,Lunala,1/44877,0.0022
791,Solgaleo,1/44877,0.0022
487,Giratina,1/44877,0.0022
789,Cosmog,1/44877,0.0022
773,Silvally,1/44877,0.0022
642,Thundurus,1/44877,0.0022
643,Reshiram,1/44877,0.0022
644,Zekrom,1/44877,0.0022
646,Kyurem,1/44877,0.0022
717,Yveltal,1/44877,0.0022
718,Zygarde,1/44877,0.0022
772,Type: Null,1/44877,0.0022
716,Xerneas,1/44877,0.0022
785,Tapu Koko,1/44877,0.0022
787,Tapu Bulu,1/44877,0.0022
905,Enamorus,1/44877,0.0022
788,Tapu Fini,1/44877,0.0022
786,Tapu Lele,1/44877,0.0022
798,Kartana,1/89754,0.0011
806,Blacephalon,1/89754,0.0011
805,Stakataka,1/89754,0.0011
804,Naganadel,1/89754,0.0011
803,Poipole,1/89754,0.0011
799,Guzzlord,1/89754,0.0011
796,Xurkitree,1/89754,0.0011
797,Celesteela,1/89754,0.0011
795,Pheromosa,1/89754,0.0011
794,Buzzwole,1/89754,0.0011
793,Nihilego,1/89754,0.0011
10167,Galarian Zapdos,1/134632,0.0007
10168,Galarian Moltres,1/134632,0.0007
10166,Galarian Articuno,1/134632,0.0007
